x	f(x)	lagrange_uniform(x)	newton_uniform(x)	lagrange_chebyshev(x)	newton_chebyshev(x)
-6.283185307179586	0.9999999999999978	0.9999999999999978	0.9999999999999978	2.4941212073036936	2.494121207303692
-6.282185307179586	0.9910403921519204	-43.34636286731574	-43.34636286731583	2.395740442233318	2.395740442233316
-6.281185307179586	0.9821611384315042	-87.20425287778532	-87.20425287778554	2.299123951696133	2.2991239516961346
-6.280185307179585	0.9733615963131236	-130.57710741091097	-130.57710741091125	2.204253427432034	2.204253427432034
-6.279185307179585	0.9646411269266821	-173.46834532770077	-173.46834532770114	2.11111068773751	2.1111106877375114
-6.278185307179585	0.9559990950620488	-215.88136705166033	-215.8813670516608	2.01967767683296	2.01967767683296
-6.277185307179584	0.947434869173069	-257.819554649488	-257.8195546494887	1.9299364642323695	1.9299364642323693
-6.276185307179584	0.9389478213810621	-299.28627191147785	-299.28627191147814	1.841869244115443	1.8418692441154438
-6.275185307179584	0.9305373274777262	-340.28486443162785	-340.2848644316283	1.75545833470212	1.7554583347021204
-6.274185307179583	0.9222027669276485	-380.81865968745717	-380.8186596874576	1.6706861776294863	1.6706861776294861
-6.273185307179583	0.9139435228702784	-420.89096711953067	-420.89096711953164	1.5875353373310892	1.5875353373310883
-6.272185307179583	0.9057589821214236	-460.505078210696	-460.5050782106971	1.5059885004186186	1.5059885004186189
-6.271185307179582	0.8976485351743219	-499.66426656502614	-499.66426656502745	1.4260284750659868	1.4260284750659862
-6.270185307179582	0.8896115762001557	-538.371787986479	-538.3717879864803	1.3476381903957466	1.3476381903957455
-6.269185307179582	0.8816475030481965	-576.6308805572645	-576.6308805572653	1.270800695867894	1.2708006958678935
-6.268185307179581	0.8737557172455042	-614.4447647159291	-614.4447647159296	1.195499160671021	1.1954991606710208
-6.267185307179581	0.8659356239960991	-651.8166433351487	-651.8166433351499	1.1217168731158056	1.1217168731158054
-6.2661853071795806	0.8581866321798003	-688.7497017992437	-688.7497017992453	1.0494372400308487	1.0494372400308476
-6.26518530717958	0.8505081543505892	-725.2471080814036	-725.2471080814041	0.97864378616084	0.9786437861608392
-6.26418530717958	0.8428996067345612	-761.3120128206298	-761.3120128206308	0.9093201535670581	0.909320153567058
-6.2631853071795796	0.8353604092275091	-796.9475493984004	-796.9475493984012	0.8414501010301761	0.841450101030176
-6.262185307179579	0.8278899853920191	-832.1568340150451	-832.1568340150466	0.7750175034553864	0.7750175034553859
-6.261185307179579	0.8204877624542517	-866.9429657658488	-866.9429657658508	0.7100063512798255	0.7100063512798254
-6.2601853071795786	0.8131531713003357	-901.3090267168667	-901.3090267168687	0.6464007498823019	0.6464007498823026
-6.259185307179578	0.8058856464723042	-935.2580819804663	-935.2580819804685	0.5841849189953099	0.5841849189953094
-6.258185307179578	0.7986846261637454	-968.7931797905887	-968.7931797905908	0.5233431921193197	0.5233431921193195
-6.2571853071795775	0.7915495522150447	-1001.9173515777336	-1001.9173515777361	0.4638600159393602	0.4638600159393604
-6.256185307179577	0.784479870108271	-1034.633612043667	-1034.6336120436695	0.40571994974385633	0.40571994974385667
-6.255185307179577	0.7774750289617508	-1066.9449592358537	-1066.9449592358553	0.34890766484573416	0.3489076648457337
-6.2541853071795765	0.7705344815242171	-1098.8543746216162	-1098.8543746216183	0.2934079440057775	0.2934079440057772
-6.253185307179576	0.7636576841686961	-1130.3648231620184	-1130.3648231620195	0.23920568085824104	0.23920568085824084
-6.252185307179576	0.7568440968860612	-1161.4792533854743	-1161.479253385476	0.18628587933869767	0.18628587933869684
-6.2511853071795755	0.7500931832781933	-1192.2005974610918	-1192.2005974610938	0.1346336531141168	0.13463365311411707
-6.250185307179575	0.7434044105509019	-1222.5317712717335	-1222.531771271737	0.08423422501518625	0.08423422501518582
-6.249185307179575	0.7367772495064981	-1252.4756744868253	-1252.4756744868287	0.03507292647083077	0.035072926470830726
-6.2481853071795745	0.7302111745360639	-1282.0351906348694	-1282.03519063487	-0.012864803055030141	-0.012864803055030079
-6.247185307179574	0.7237056636114615	-1311.2131871757117	-1311.2131871757135	-0.05959341662453815	-0.059593416624537585
-6.246185307179574	0.7172601982769762	-1340.0125155725332	-1340.0125155725354	-0.10512726038473537	-0.10512726038473649
-6.2451853071795735	0.7108742636407432	-1368.4360113635692	-1368.436011363572	-0.14948057412423035	-0.14948057412423055
-6.244185307179573	0.704547348365897	-1396.4864942335723	-1396.486494233573	-0.19266749182764895	-0.19266749182764883
-6.243185307179573	0.6982789446613795	-1424.166768084994	-1424.1667680849964	-0.2347020422279338	-0.23470204222793234
-6.2421853071795725	0.6920685482725585	-1451.4796211089276	-1451.47962110893	-0.27559814935644855	-0.2755981493564481
-6.241185307179572	0.6859156584715491	-1478.4278258557579	-1478.4278258557601	-0.31536963309093685	-0.315369633090937
-6.240185307179572	0.6798197780472816	-1505.0141393055649	-1505.0141393055687	-0.35403020970129956	-0.35403020970130117
-6.2391853071795715	0.6737804132953571	-1531.2413029382703	-1531.2413029382742	-0.39159349239323643	-0.3915934923932364
-6.238185307179571	0.6677970740075903	-1557.1120428035038	-1557.1120428035088	-0.4280729918497249	-0.42807299184972347
-6.237185307179571	0.6618692734613801	-1582.6290695902246	-1582.6290695902278	-0.46348211677037543	-0.46348211677037543
-6.2361853071795705	0.6559965284088508	-1607.7950786960782	-1607.7950786960823	-0.49783417440865124	-0.4978341744086512
-6.23518530717957	0.6501783590657036	-1632.6127502964923	-1632.6127502964969	-0.5311423711069435	-0.531142371106945
-6.23418530717957	0.6444142890999208	-1657.0847494135198	-1657.0847494135216	-0.5634198128295578	-0.5634198128295576
-6.2331853071795695	0.6387038456202218	-1681.2137259844178	-1681.2137259844208	-0.5946795056935484	-0.594679505693548
-6.232185307179569	0.6330465591643099	-1705.0023149299757	-1705.002314929979	-0.6249343564974852	-0.6249343564974862
-6.231185307179569	0.627441963686952	-1728.4531362225853	-1728.453136222588	-0.6541971732480982	-0.6541971732480987
-6.2301853071795685	0.6218895965477934	-1751.568794954054	-1751.568794954058	-0.6824806656848241	-0.6824806656848246
-6.229185307179568	0.6163889984990402	-1774.351881403171	-1774.3518814031752	-0.709797445802285	-0.7097974458022847
-6.228185307179568	0.610939713672957	-1796.80497110301	-1796.8049711030153	-0.7361600283706681	-0.7361600283706681
-6.2271853071795675	0.605541289569121	-1818.930624907988	-1818.930624907991	-0.7615808314540422	-0.7615808314540436
-6.226185307179567	0.600193277041569	-1840.7313890606697	-1840.7313890606724	-0.7860721769266096	-0.786072176926608
-6.225185307179567	0.5948952302857365	-1862.2097952583197	-1862.2097952583222	-0.8096462909868704	-0.80964629098687
-6.2241853071795665	0.5896467068252343	-1883.3683607192008	-1883.3683607192013	-0.8323153046697791	-0.8323153046697801
-6.223185307179566	0.5844472674984926	-1904.2095882486358	-1904.2095882486378	-0.8540912543568083	-0.8540912543568089
-6.222185307179566	0.5792964764451866	-1924.7359663048082	-1924.7359663048107	-0.8749860822839906	-0.8749860822839911
-6.2211853071795655	0.5741939010925672	-1944.9499690643206	-1944.9499690643243	-0.8950116370479271	-0.895011637047927
-6.220185307179565	0.5691391121416435	-1964.8540564875036	-1964.854056487507	-0.9141796741097581	-0.9141796741097575
-6.219185307179565	0.5641316835531681	-1984.4506743834806	-1984.4506743834845	-0.9325018562971172	-0.9325018562971182
-6.2181853071795645	0.5591711925335454	-2003.7422544749863	-2003.742254474992	-0.9499897543040706	-0.9499897543040712
-6.217185307179564	0.5542572195205767	-2022.731214462945	-2022.731214462951	-0.9666548471890329	-0.9666548471890342
-6.216185307179564	0.5493893481690755	-2041.4199580907916	-2041.419958090796	-0.9825085228707009	-0.982508522870701
-6.2151853071795635	0.5445671653363884	-2059.8108752085695	-2059.8108752085745	-0.9975620786219653	-0.997562078621966
-6.214185307179563	0.539790261067738	-2077.906341836764	-2077.9063418367705	-1.011826721561858	-1.0118267215618575
-6.213185307179563	0.535058228581501	-2095.7087202299217	-2095.708720229923	-1.025313569145485	-1.0253135691454855
-6.2121853071795625	0.5303706642543748	-2113.220358939991	-2113.2203589399937	-1.0380336496520115	-1.038033649652011
-6.211185307179562	0.5257271676063867	-2130.443592879465	-2130.4435928794683	-1.0499979026706432	-1.049997902670643
-6.210185307179562	0.5211273412858536	-2147.380743384254	-2147.3807433842576	-1.0612171795846717	-1.061217179584672
-6.2091853071795615	0.5165707910542173	-2164.034118276331	-2164.0341182763345	-1.0717022440535353	-1.0717022440535364
-6.208185307179561	0.5120571257707821	-2180.4060119261394	-2180.406011926144	-1.0814637724929412	-1.0814637724929428
-6.207185307179561	0.5075859573773889	-2196.4987053147643	-2196.49870531477	-1.090512354553033	-1.0905123545530326
-6.2061853071795605	0.503156900882948	-2212.314466095867	-2212.3144660958696	-1.0988584935946137	-1.098858493594613
-6.20518530717956	0.4987695743479359	-2227.855548657377	-2227.855548657379	-1.1065126071634472	-1.1065126071634472
-6.20418530717956	0.49442359886881204	-2243.124194182961	-2243.124194182964	-1.1134850274626171	-1.1134850274626162
-6.2031853071795595	0.4901185985623113	-2258.1226307132497	-2258.122630713252	-1.1197860018229635	-1.1197860018229637
-6.202185307179559	0.48585420054971695	-2272.853073206837	-2272.8530732068402	-1.1254256931716116	-1.1254256931716118
-6.201185307179559	0.4816300349410372	-2287.3177236010383	-2287.317723601041	-1.1304141804985814	-1.1304141804985808
-6.2001853071795585	0.477445734819117	-2301.518770872425	-2301.5187708724293	-1.1347614593214894	-1.1347614593214894
-6.199185307179558	0.4733009362237122	-2315.458391097127	-2315.4583910971323	-1.1384774421483668	-1.1384774421483672
-6.198185307179558	0.469195278135455	-2329.1387475108995	-2329.138747510906	-1.1415719589385696	-1.1415719589385682
-6.1971853071795575	0.4651284024598083	-2342.561990568967	-2342.561990568973	-1.1440547575617994	-1.1440547575617996
-6.196185307179557	0.4610999540109681	-2355.7302580056335	-2355.7302580056357	-1.1459355042552706	-1.1459355042552704
-6.195185307179557	0.4571095804956726	-2368.6456748936575	-2368.6456748936635	-1.1472237840789623	-1.147223784078962
-6.1941853071795565	0.453156932497014	-2381.310353703433	-2381.3103537034385	-1.1479291013690365	-1.1479291013690343
-6.193185307179556	0.44924166345818395	-2393.7263943618923	-2393.726394361898	-1.1480608801893675	-1.1480608801893655
-6.192185307179556	0.4453634296661782	-2405.8958843112227	-2405.895884311225	-1.1476284647812363	-1.147628464781238
-6.1911853071795555	0.4415218902354894	-2417.8208985673455	-2417.8208985673486	-1.14664112001117	-1.146641120011169
-6.190185307179555	0.43771670709171834	-2429.5034997781663	-2429.5034997781686	-1.1451080318169002	-1.1451080318168987
-6.189185307179555	0.43394754495519733	-2440.945738281605	-2440.94573828161	-1.1430383076515431	-1.1430383076515418
-6.1881853071795545	0.43021407132458456	-2452.14965216341	-2452.149652163416	-1.1404409769258985	-1.1404409769259005
-6.187185307179554	0.4265159564603931	-2463.1172673147344	-2463.11726731474	-1.1373249914489516	-1.1373249914489505
-6.186185307179554	0.4228528733685422	-2473.850597489502	-2473.850597489508	-1.1336992258665133	-1.133699225866513
-6.1851853071795535	0.419224497783867	-2484.351644361553	-2484.3516443615545	-1.1295724780980974	-1.1295724780980974
-6.184185307179553	0.41563050815361136	-2494.62239758156	-2494.6223975815633	-1.1249534697719468	-1.124953469771948
-6.183185307179553	0.412070585620927	-2504.6648348337376	-2504.664834833743	-1.11985084665828	-1.1198508466582788
-6.1821853071795525	0.4085444140083195	-2514.4809218923237	-2514.4809218923274	-1.114273179100708	-1.1142731791007079
-6.181185307179552	0.4050516798011218	-2524.072612677841	-2524.0726126778436	-1.1082289624459043	-1.1082289624459045
-6.180185307179552	0.4015920721309624	-2533.441849313148	-2533.4418493131507	-1.1017266174714506	-1.1017266174714515
-6.1791853071795515	0.39816528275918966	-2542.590562179274	-2542.590562179278	-1.094774490811916	-1.0947744908119164
-6.178185307179551	0.3947710060603377	-2551.5206699710316	-2551.520669971038	-1.087380855383154	-1.0873808553831543
-6.177185307179551	0.39140893900557056	-2560.234079752416	-2560.234079752422	-1.079553910804844	-1.0795539108048435
-6.1761853071795505	0.3880787811461291	-2568.7326870117954	-2568.732687011801	-1.0713017838212533	-1.0713017838212515
-6.17518530717955	0.38478023459680366	-2577.0183757168734	-2577.018375716878	-1.0626325287202434	-1.0626325287202436
-6.17418530717955	0.38151300401937277	-2585.093018369458	-2585.0930183694645	-1.0535541277505407	-1.0535541277505414
-6.1731853071795495	0.37827679660608815	-2592.9584760600055	-2592.958476060012	-1.044074491537234	-1.0440744915372333
-6.172185307179549	0.37507132206316934	-2600.616598521944	-2600.6165985219523	-1.0342014594955435	-1.034201459495544
-6.171185307179549	0.3718962925942776	-2608.069224185816	-2608.0692241858187	-1.0239428002428679	-1.0239428002428657
-6.1701853071795485	0.3687514228840438	-2615.31818023317	-2615.318180233173	-1.0133062120090643	-1.0133062120090641
-6.169185307179548	0.36563643008159424	-2622.3652826502785	-2622.365282650281	-1.002299323045052	-1.0022993230450536
-6.168185307179548	0.3625510337840964	-2629.2123362816237	-2629.2123362816283	-0.9909296920296624	-0.9909296920296621
-6.1671853071795475	0.35949495602034287	-2635.8611348831846	-2635.8611348831905	-0.9792048084747716	-0.9792048084747722
-6.166185307179547	0.3564679212343238	-2642.3134611755186	-2642.313461175524	-0.9671320931287628	-0.967132093128763
-6.165185307179547	0.3534696562688551	-2648.571086896623	-2648.5710868966307	-0.9547188983782494	-0.9547188983782484
-6.1641853071795465	0.3504998903492344	-2654.635772854606	-2654.63577285461	-0.9419725086481112	-0.9419725086481118
-6.163185307179546	0.3475583550668927	-2660.509268980146	-2660.5092689801495	-0.9289001407998594	-0.9289001407998588
-6.162185307179546	0.34464478436311163	-2666.193314378731	-2666.1933143787364	-0.9155089445282821	-0.9155089445282815
-6.1611853071795455	0.3417589145127549	-2671.689637382729	-2671.6896373827312	-0.9018060027564364	-0.9018060027564354
-6.160185307179545	0.33890048410803353	-2676.9999556032126	-2676.9999556032153	-0.8877983320289546	-0.8877983320289545
-6.159185307179545	0.3360692340423217	-2682.1259759816116	-2682.1259759816157	-0.873492882903685	-0.8734928829036845
-6.1581853071795445	0.3332649074939772	-2687.0693948411526	-2687.0693948411576	-0.8588965403416612	-0.8588965403416621
-6.157185307179544	0.33048724991022843	-2691.8318979380906	-2691.8318979380956	-0.8440161240954285	-0.8440161240954286
-6.156185307179544	0.327736008991102	-2696.415160512749	-2696.4151605127536	-0.8288583890956953	-0.8288583890956951
-6.1551853071795435	0.32501093467336034	-2700.8208473403533	-2700.820847340361	-0.8134300258363568	-0.8134300258363578
-6.154185307179543	0.3223117791145157	-2705.0506127816743	-2705.0506127816793	-0.7977376607578736	-0.7977376607578743
-6.153185307179543	0.3196382966768706	-2709.1061008334536	-2709.106100833458	-0.7817878566289957	-0.7817878566289962
-6.1521853071795425	0.3169902439116034	-2712.988945178648	-2712.988945178654	-0.7655871129268778	-0.7655871129268776
-6.151185307179542	0.31436737954291666	-2716.700769236473	-2716.700769236476	-0.7491418662155562	-0.7491418662155555
-6.150185307179542	0.3117694644522006	-2720.2431862122453	-2720.2431862122485	-0.732458490522807	-0.7324584905228065
-6.1491853071795415	0.3091962616622745	-2723.61779914702	-2723.617799147023	-0.7155432977153908	-0.7155432977153905
-6.148185307179541	0.30664753632167746	-2726.826200967055	-2726.826200967059	-0.6984025378726825	-0.6984025378726837
-6.147185307179541	0.30412305568898246	-2729.8699745330578	-2729.8699745330614	-0.6810423996587056	-0.6810423996587068
-6.1461853071795405	0.30162258911719403	-2732.7506926892456	-2732.750692689253	-0.6634690106925554	-0.6634690106925545
-6.14518530717954	0.2991459080381837	-2735.4699183122266	-2735.469918312232	-0.6456884379172282	-0.6456884379172282
-6.14418530717954	0.29669278594717957	-2738.029204359648	-2738.029204359649	-0.6277066879668803	-0.6277066879668817
-6.1431853071795395	0.29426299838732706	-2740.430093918702	-2740.4300939187037	-0.6095297075324824	-0.6095297075324828
-6.142185307179539	0.29185632293427627	-2742.674120254396	-2742.6741202544003	-0.5911633837258965	-0.5911633837258957
-6.141185307179539	0.2894725391808531	-2744.7628068576646	-2744.7628068576696	-0.5726135444423895	-0.5726135444423898
