nodes_count	lagrange_uniform	newton_uniform	lagrange_chebyshev	newton_chebyshev
2	19.08553683172422	19.08553683172422	12.415317587452282	12.415317587452284
3	19.988798665781744	19.988798665781744	20.035188759905797	20.035188759905797
4	19.08553683172422	19.08553683172422	19.971269968746928	19.971269968746928
5	20.0307416469559	20.030741646955896	19.232821503192245	19.23282150319225
6	19.158025814416828	19.158025814416828	14.386244994751838	14.386244994751838
7	28.736915179932456	28.73691517993229	20.08612362251376	20.08612362251376
8	17.812301024484814	17.812301024484814	21.018701539950435	21.01870153995043
9	68.94595627964497	68.94595627964472	21.227529879941212	21.227529879941336
10	19.085536831724216	19.085536831724216	17.255195003632743	17.25519500363273
11	205.79519629024287	205.79519629024293	20.503123943922333	20.503123943922333
12	86.03989133082563	86.03989133082935	20.349234123531073	20.349234123530614
13	140.754868275142	140.75486827507348	15.219781803611761	15.219781803567566
14	156.8362451843861	156.83624518438603	16.931875018508336	16.931875018508585
15	61.56264693358039	61.56264693354101	11.62216453285175	11.622164532851757
16	456.6743184599125	456.6743184633647	12.749817791234161	12.749817791234015
17	2758.782431398019	2758.782431398023	8.066579879682845	8.066579879965637
18	816.5221721083497	816.5221721083473	9.094332888256389	9.09433288817463
19	14350.155013726457	14350.155013726466	12.034137061690753	12.034137061682571
20	2415.057129838687	2415.057129707994	10.733548589370656	10.733548589384155
30	725754.6100501629	725754.6100501692	6.166727129669251	6.166727129651019
40	168865636.0272836	168865636.0272804	3.329890979955173	56.96148637503681
50	31611721302.434536	31611721302.43232	1.4859230865554873	172544.5430931669
