x	f(x)	lagrange_uniform(x)	newton_uniform(x)	lagrange_chebyshev(x)	newton_chebyshev(x)
-6.283185307179586	0.9999999999999978	0.9999999999999978	0.9999999999999978	0.8595704109770956	0.8595704109770965
-6.282185307179586	0.9910403921519204	2002108248.276701	2002108248.2764857	0.9187141665347687	0.9187141665347683
-6.281185307179586	0.9821611384315042	3913581737.4883943	3913581737.488025	0.9661670649472232	0.9661670649472223
-6.280185307179585	0.9733615963131236	5737242463.63243	5737242463.631825	1.0031553196125007	1.0031553196125003
-6.279185307179585	0.9646411269266821	7475840090.29813	7475840090.2975	1.0308140646092256	1.0308140646092252
-6.278185307179585	0.9559990950620488	9132053570.477552	9132053570.476662	1.0501925855261336	1.050192585526133
-6.277185307179584	0.947434869173069	10708492734.695	10708492734.693996	1.0622593062133008	1.062259306213302
-6.276185307179584	0.9389478213810621	12207699847.062647	12207699847.06097	1.0679065410142419	1.0679065410142417
-6.275185307179584	0.9305373274777262	13632151129.847326	13632151129.846182	1.0679550217165268	1.067955021716527
-6.274185307179583	0.9222027669276485	14984258257.145247	14984258257.143375	1.0631582081465205	1.0631582081465203
-6.273185307179583	0.9139435228702784	16266369818.212486	16266369818.210442	1.0542063910308912	1.0542063910308912
-6.272185307179583	0.9057589821214236	17480772751.04245	17480772751.041557	1.0417305954536853	1.0417305954536842
-6.271185307179582	0.8976485351743219	18629693746.727432	18629693746.72458	1.026306292952499	1.0263062929524986
-6.270185307179582	0.8896115762001557	19715300625.13	19715300625.1293	1.0084569300206656	1.0084569300206654
-6.269185307179582	0.8816475030481965	20739703682.460888	20739703682.458427	0.9886572805138588	0.9886572805138578
-6.268185307179581	0.8737557172455042	21704957011.18911	21704957011.18717	0.9673366291992429	0.9673366291992417
-6.267185307179581	0.8659356239960991	22613059792.911236	22613059792.907658	0.9448817934327277	0.9448817934327277
-6.2661853071795806	0.8581866321798003	23465957564.58544	23465957564.584545	0.9216399897050126	0.9216399897050125
-6.26518530717958	0.8505081543505892	24265543458.724518	24265543458.72055	0.897921551559656	0.8979215515596571
-6.26418530717958	0.8428996067345612	25013659417.92174	25013659417.921352	0.8740025051562196	0.8740025051562194
-6.2631853071795796	0.8353604092275091	25712097384.343258	25712097384.34055	0.8501270085282931	0.8501270085282944
-6.262185307179579	0.8278899853920191	26362600464.484142	26362600464.478977	0.8265096603699813	0.8265096603699807
-6.261185307179579	0.8204877624542517	26966864069.80255	26966864069.801014	0.8033376839746496	0.8033376839746491
-6.2601853071795786	0.8131531713003357	27526537033.629444	27526537033.626217	0.780772991746707	0.7807729917467066
-6.259185307179578	0.8058856464723042	28043222704.74665	28043222704.743862	0.7589541355101973	0.7589541355101974
-6.258185307179578	0.7986846261637454	28518480018.193428	28518480018.191795	0.7379981476473569	0.7379981476473573
-6.2571853071795775	0.7915495522150447	28953824543.63399	28953824543.632416	0.7180022779154979	0.7180022779154978
-6.256185307179577	0.784479870108271	29350729511.754574	29350729511.751328	0.6990456306116409	0.6990456306116402
-6.255185307179577	0.7774750289617508	29710626819.100193	29710626819.09656	0.6811907065810534	0.6811907065810532
-6.2541853071795765	0.7705344815242171	30034908011.77581	30034908011.771145	0.6644848543980203	0.6644848543980211
-6.253185307179576	0.7636576841686961	30324925248.386494	30324925248.37898	0.6489616348847439	0.6489616348847441
