x	f(x)	lagrange_uniform(x)	newton_uniform(x)	lagrange_chebyshev(x)	newton_chebyshev(x)
-6.283185307179586	0.9999999999999978	0.9999999999999978	0.9999999999999978	1.220327585920036	1.2203275859200335
-6.282185307179586	0.9910403921519204	8115918.418014892	8115918.418014807	1.1408245220359605	1.1408245220359596
-6.281185307179586	0.9821611384315042	15955334.706996486	15955334.70699607	1.069198308314488	1.069198308314489
-6.280185307179585	0.9733615963131236	23524657.117405206	23524657.117404733	1.0049341187018421	1.004934118701843
-6.279185307179585	0.9646411269266821	30830171.930287886	30830171.930286556	0.9475410853834577	0.947541085383456
-6.278185307179585	0.9559990950620488	37878046.4343085	37878046.434307195	0.8965514423518667	0.8965514423518666
-6.277185307179584	0.947434869173069	44674330.87399706	44674330.87399587	0.8515196936574062	0.851519693657406
-6.276185307179584	0.9389478213810621	51224960.369579405	51224960.369577624	0.8120218057492656	0.8120218057492663
-6.275185307179584	0.9305373274777262	57535756.80877076	57535756.80876889	0.7776544233266428	0.7776544233266417
-6.274185307179583	0.9222027669276485	63612430.71090834	63612430.71090774	0.7480341081315518	0.7480341081315511
-6.273185307179583	0.9139435228702784	69460583.06378688	69460583.06378445	0.7227966001266241	0.7227966001266233
-6.272185307179583	0.9057589821214236	75085707.13353695	75085707.13353476	0.7015961005126249	0.7015961005126258
-6.271185307179582	0.8976485351743219	80493190.24795376	80493190.24795233	0.6841045760517797	0.6841045760517794
-6.270185307179582	0.8896115762001557	85688315.5535774	85688315.55357447	0.6700110841739993	0.6700110841739984
-6.269185307179582	0.8816475030481965	90676263.74689114	90676263.74688923	0.6590211183540399	0.6590211183540402
-6.268185307179581	0.8737557172455042	95462114.78001149	95462114.78000869	0.6508559732582694	0.650855973258269
-6.267185307179581	0.8659356239960991	100050849.54115202	100050849.54114874	0.6452521291701925	0.6452521291701917
-6.2661853071795806	0.8581866321798003	104447351.51025306	104447351.51025106	0.6419606552142489	0.641960655214249
-6.26518530717958	0.8505081543505892	108656408.39008129	108656408.39008014	0.6407466309074494	0.6407466309074498
-6.26418530717958	0.8428996067345612	112682713.71312453	112682713.71312365	0.6413885855783553	0.6413885855783558
-6.2631853071795796	0.8353604092275091	116530868.42462146	116530868.42461842	0.6436779552027074	0.643677955202706
-6.262185307179579	0.8278899853920191	120205382.44202538	120205382.44202414	0.647418556214493	0.6474185562144915
-6.261185307179579	0.8204877624542517	123710676.19126347	123710676.1912596	0.6524260758607445	0.6524260758607434
-6.2601853071795786	0.8131531713003357	127051082.12001956	127051082.12001513	0.6585275786774836	0.6585275786774836
-6.259185307179578	0.8058856464723042	130230846.18844871	130230846.18844706	0.665561028673356	0.6655610286733563
-6.258185307179578	0.7986846261637454	133254129.33756652	133254129.33756252	0.6733748268163557	0.6733748268163555
-6.2571853071795775	0.7915495522150447	136125008.9355982	136125008.9355924	0.681827363427776	0.681827363427776
-6.256185307179577	0.784479870108271	138847480.20265186	138847480.2026512	0.6907865850960877	0.6907865850960879
-6.255185307179577	0.7774750289617508	141425457.61398068	141425457.61397693	0.7001295757318383	0.7001295757318378
