x	f(x)	lagrange_uniform(x)	newton_uniform(x)	lagrange_chebyshev(x)	newton_chebyshev(x)
0.35981469282084694	0.07099918030007601	1.0514628739980036	1.0514628740027336	-0.29007257957435434	-0.29007257957000077
0.36081469282084694	0.07069917288120883	1.0396820827142237	1.0396820827178521	-0.31593177481774914	-0.3159317748173216
0.36181469282084694	0.07040211178443016	1.027910866961273	1.0279108669581414	-0.34173330742728336	-0.3417333074329829
0.36281469282084694	0.07010797315019016	1.0161493403130049	1.0161493403126074	-0.3674769791519662	-0.36747697915254596
0.36381469282084694	0.06981673337931021	1.0043976164167727	1.004397616416225	-0.3931625922124121	-0.39316259221200295
0.36481469282084694	0.06952836913052922	0.9926558089925896	0.9926558089840878	-0.41878994930278163	-0.41878994930183183
0.36581469282084694	0.06924285731807624	0.9809240318322688	0.9809240318317884	-0.44435885359271193	-0.4443588535943403
0.36681469282084694	0.06896017510926976	0.9692023987985928	0.9692023987968447	-0.46986910872925425	-0.46986910873060234
0.36781469282084694	0.06868029992214306	0.9574910238244495	0.9574910238207106	-0.4953205188388011	-0.4953205188372996
0.36881469282084695	0.06840320942309533	0.945790020911979	0.9457900209139729	-0.520712888529012	-0.5207128885280595
0.36981469282084695	0.06812888152456878	0.9340995041317213	0.9340995041339178	-0.5460460228907377	-0.5460460228912241
0.37081469282084695	0.06785729438275075	0.9224195876217586	0.9224195876198572	-0.5713197274999429	-0.5713197275028136
0.37181469282084695	0.0675884263953018	0.91075038558685	0.9107503855917878	-0.596533808419621	-0.5965338084220848
0.37281469282084695	0.06732225619910788	0.8990920122975729	0.8990920122980015	-0.6216880722017117	-0.6216880722014639
0.37381469282084695	0.06705876266805823	0.8874445820894549	0.8874445820887453	-0.6467823258890104	-0.646782325890054
0.37481469282084695	0.06679792491084713	0.875808209362105	0.8758082093616284	-0.6718163770170783	-0.6718163770182908
0.37581469282084695	0.06653972226880056	0.8641830085783495	0.8641830085807333	-0.6967900336161499	-0.696790033617704
0.37681469282084695	0.06628413431372664	0.8525690942633538	0.852569094266113	-0.7217031042130327	-0.7217031042145154
0.37781469282084695	0.06603114084579034	0.8409665810037487	0.840966581000747	-0.7465553978330084	-0.7465553978358175
0.37881469282084695	0.06578072189141156	0.8293755834467565	0.8293755834418332	-0.7713467240017302	-0.7713467239979879
0.37981469282084696	0.06553285770118725	0.8177962162993087	0.8177962162993764	-0.7960768927471155	-0.7960768927497249
0.38081469282084696	0.06528752874783625	0.806228594327166	0.8062285943287146	-0.8207457146012385	-0.8207457146030782
0.38181469282084696	0.06504471572416787	0.7946728323540324	0.7946728323557612	-0.8453530006022125	-0.8453530006004365
0.38281469282084696	0.06480439954107296	0.7831290452606746	0.7831290452636411	-0.8698985622960793	-0.8698985622972074
0.38381469282084696	0.06456656132553787	0.7715973479840277	0.7715973479861487	-0.8943822117386913	-0.8943822117374031
0.38481469282084696	0.0643311824186808	0.7600778555163056	0.7600778555213414	-0.9188037614975807	-0.9188037614977815
0.38581469282084696	0.064098244373811	0.7485706829041086	0.7485706828955236	-0.9431630246538429	-0.9431630246543516
