x	error_lagrange_uniform	error_lagrange_chebyshev	error_newton_uniform	error_newton_chebyshev
-3.4491853071788845	0.010060524494647421	0.010060524494647283	2.2185127553135846	2.2185127553135846
-3.4481853071788846	0.010617350422770816	0.01061735042277076	2.2161159232553	2.2161159232552987
-3.4471853071788847	0.011178805151611487	0.011178805151611432	2.2137143088729054	2.2137143088729045
-3.446185307178885	0.011744931707408021	0.011744931707407938	2.2113078709512153	2.2113078709512153
-3.445185307178885	0.0123157735656243	0.012315773565624286	2.208896567824855	2.2088965678248553
-3.444185307178885	0.012891374655376764	0.01289137465537675	2.20648035737383	2.2064803573738296
-3.443185307178885	0.013471779363905742	0.013471779363905756	2.2040591970190593	2.2040591970190593
-3.4421853071788853	0.014057032541087214	0.01405703254108727	2.201633043717859	2.20163304371786
-3.4411853071788854	0.01464717950399215	0.014647179503992191	2.199201853959388	2.199201853959387
-3.4401853071788855	0.015242266041488678	0.01524226604148872	2.19676558376004	2.19676558376004
-3.4391853071788856	0.015842338418889088	0.015842338418888963	2.194324188658802	2.1943241886588014
-3.4381853071788857	0.01644744338264352	0.016447443382643395	2.191877623712558	2.1918776237125566
-3.437185307178886	0.01705762816507586	0.017057628165075722	2.1894258434913496	2.18942584349135
-3.436185307178886	0.017672940489168967	0.017672940489168884	2.186968802073602	2.186968802073602
-3.435185307178886	0.018293428573395235	0.01829342857339515	2.1845064530412803	2.18450645304128
-3.434185307178886	0.018919141136591613	0.018919141136591572	2.182038749475019	2.1820387494750197
-3.4331853071788863	0.019550127402884268	0.01955012740288424	2.179565643949204	2.1795656439492044
-3.4321853071788864	0.02018643710665924	0.020186437106659197	2.1770870885269926	2.177087088526993
-3.4311853071788865	0.020828120497580496	0.02082812049758055	2.174603034755299	2.174603034755298
-3.4301853071788866	0.021475228345657932	0.021475228345657973	2.172113433659728	2.1721134336597276
-3.4291853071788867	0.02212781194636003	0.022127811946360057	2.169618235739459	2.1696182357394584
-3.428185307178887	0.02278592312577843	0.022785923125778526	2.167117390962087	2.167117390962087
-3.427185307178887	0.02344961424584202	0.02344961424584209	2.1646108487584015	2.1646108487584015
-3.426185307178887	0.024118938209576363	0.02411893820957625	2.162098558017132	2.1620985580171306
-3.425185307178887	0.024793948466417706	0.024793948466417623	2.1595804670796293	2.15958046707963
-3.4241853071788872	0.025474699017574085	0.025474699017573987	2.1570565237345134	2.157056523734514
-3.4231853071788874	0.026161244421438176	0.026161244421438065	2.1545266752122503	2.1545266752122503
-3.4221853071788875	0.02685363979905185	0.026853639799051823	2.151990868179692	2.151990868179692
-3.4211853071788876	0.027551940839619427	0.027551940839619385	2.149449048734566	2.149449048734566
-3.4201853071788877	0.028256203806074576	0.028256203806074534	2.1469011623999004	2.1469011623999
-3.419185307178888	0.02896648554070054	0.028966485540700568	2.144347154118415	2.1443471541184147
-3.418185307178888	0.02968284347079858	0.029682843470798595	2.1417869682468424	2.141786968246842
-3.417185307178888	0.03040533561441304	0.030405335614413012	2.1392205485502083	2.1392205485502087
-3.416185307178888	0.0311340205861078	0.03113402058610787	2.136647838196054	2.1366478381960543
-3.4151853071788882	0.03186895760279672	0.03186895760279679	2.134068779748607	2.134068779748606
-3.4141853071788884	0.03261020648962866	0.03261020648962873	2.1314833151628934	2.1314833151628934
-3.4131853071788885	0.033357827685923866	0.03335782768592377	2.1288913857788017	2.128891385778802
-3.4121853071788886	0.03411188225116844	0.03411188225116833	2.1262929323150948	2.1262929323150948
-3.4111853071788887	0.03487243187106316	0.034872431871063064	2.12368789486335	2.12368789486335
-3.410185307178889	0.03563953886362496	0.035639538863624906	2.1210762128818677	2.1210762128818668
-3.409185307178889	0.03641326618534739	0.03641326618534731	2.118457825189504	2.118457825189503
-3.408185307178889	0.037193677437415765	0.037193677437415695	2.1158326699594587	2.115832669959459
-3.407185307178889	0.03798083687197831	0.03798083687197838	2.1132006847130067	2.1132006847130063
-3.4061853071788892	0.03877480939847679	0.03877480939847677	2.1105618063131604	2.110561806313161
-3.4051853071788893	0.03957566059002941	0.03957566059002941	2.107915970958294	2.107915970958294
-3.4041853071788895	0.04038345668987624	0.04038345668987629	2.1052631141756932	2.105263114175693
-3.4031853071788896	0.04119826461788166	0.04119826461788173	2.102603170815055	2.1026031708150548
-3.4021853071788897	0.04202015197709166	0.04202015197709173	2.0999360750419296	2.0999360750419296
-3.40118530717889	0.042849187060354454	0.04284918706035434	2.0972617603311003	2.0972617603311003
-3.40018530717889	0.04368543885699734	0.043685438856997216	2.0945801594599054	2.0945801594599054
