x	f(x)	hermite_uniform(x)	hermite_chebyshev(x)
-4.063185307178845	0.3315815383515567	0.2243708930350116	-4.453029814501065
-4.0621853071788445	0.32881989015109586	0.22360831754169716	-4.480783513119366
-4.061185307178844	0.32608450708633685	0.22284553451733696	-4.50851735133647
-4.060185307178844	0.3233751404392805	0.22208254715675937	-4.536231261255721
-4.0591853071788435	0.3206915437030169	0.22131935865176589	-4.5639251750950915
-4.058185307178843	0.3180334725657929	0.2205559721911155	-4.591599025187256
-4.057185307178843	0.3154006848951328	0.21979239096052627	-4.619252743979684
-4.0561853071788425	0.31279294072200486	0.21902861814264415	-4.646886264034748
-4.055185307178842	0.3102100022250303	0.21826465691706592	-4.674499518029789
-4.054185307178842	0.30765163371474225	0.2175005104603197	-4.70209243875722
-4.0531853071788415	0.3051176016179011	0.21673618194584876	-4.729664959124622
-4.052185307178841	0.3026076744618618	0.21597167454401112	-4.7572170121548165
-4.051185307178841	0.3001216228589881	0.21520699142208502	-4.784748530985965
-4.0501853071788405	0.29765921949112073	0.21444213574423776	-4.812259448871653
-4.04918530717884	0.29522023909410733	0.213677110671534	-4.839749699180982
-4.04818530717884	0.29280445844238717	0.21291191936192425	-4.867219215398652
-4.0471853071788395	0.29041165633362864	0.2121465649702414	-4.89466793112505
-4.046185307178839	0.28804161357342384	0.2113810506481834	-4.922095780076336
-4.045185307178839	0.28569411296004876	0.21061537954431214	-4.94950269608453
-4.0441853071788385	0.28336893926928236	0.2098495548040575	-4.976888613097602
-4.043185307178838	0.28106587923928184	0.2090835795696853	-5.004253465179545
-4.042185307178838	0.2787847215555191	0.20831745698032578	-5.031597186510469
-4.0411853071788375	0.27652525683578605	0.20755119017190807	-5.058919711386684
-4.040185307178837	0.2742872776152617	0.2067847822772312	-5.0862209742207884
-4.039185307178837	0.27207057833163956	0.20601823642588565	-5.113500909541734
-4.0381853071788365	0.26987495531031885	0.2052515557442981	-5.140759451994942
