nodes_count	hermite_uniform	hermite_chebyshev
2	39.24776297975332	113.54714254954101
3	24.614920335018486	20.013801794441882
4	29.02601870103782	20.64143567598339
5	20.29266626223351	31.286371538527224
6	105.84555296567596	80.77905644112775
7	31.446643243389424	19.16952606176345
8	15.828390287608409	27.793909497494223
9	492.59580183847487	20.89210877257563
10	16.083521943666447	17.013390683472576
11	3187.5874065324665	17.322020285674252
12	7620.166959511775	17.097011825396997
13	17315.99248845249	20.003960927572937
14	28883.798891592716	12.977466893466866
15	46755.87611572894	11.282380647920576
16	423763.6820923553	7.964421300843119
17	1364754.346770826	7.47387229341806
18	2848571.373138559	8.63126568651306
19	2342921.6544330358	6.939107243180059
20	11789410.707472343	45.795386995514676
30	299392527795.23584	6420873893.169152
40	470044612084317504	660414243634092416
50	6.315409560792594e+25	3.2024207010822187e+25
