x	f(x)	hermite_uniform(x)	hermite_chebyshev(x)
-6.283185307179586	0.9999999999999978	0.9999999999999978	1.0006301190262135
-6.282185307179586	0.9910403921519204	-117478546202143328	0.9912074336313658
-6.281185307179586	0.9821611384315042	-448690034991060480	0.9821693019651916
-6.280185307179585	0.9733615963131236	-963869252908538496	0.9733899061115664
-6.279185307179585	0.9646411269266821	-1635858725324882432	0.9647806914895691
-6.278185307179585	0.9559990950620488	-2439926354881969152	0.9562817022041967
-6.277185307179584	0.947434869173069	-3353594101052493824	0.9478545672074008
-6.276185307179584	0.9389478213810621	-4356477099157332992	0.9394768711810091
-6.275185307179584	0.9305373274777262	-5430132647346696192	0.9311376811865915
-6.274185307179583	0.9222027669276485	-6557918518803540992	0.922834032695653
-6.273185307179583	0.9139435228702784	-7724860083832176640	0.9145682071177833
-6.272185307179583	0.9057589821214236	-8917525752610542592	0.9063456578361595
-6.271185307179582	0.8976485351743219	-10123910274267615232	0.8981734634452931
-6.270185307179582	0.8896115762001557	-11333325451653935104	0.8900592057304791
-6.269185307179582	0.8816475030481965	-12536297853754071040	0.8820101862599404
-6.268185307179581	0.8737557172455042	-13724473129196023808	0.8740329095732796
-6.267185307179581	0.8659356239960991	-14890526544792244224	0.8661327731069833
-6.2661853071795806	0.8581866321798003	-16028079392545542144	0.8583139144349367
-6.26518530717958	0.8505081543505892	-17131620927114864640	0.8505791753296968
-6.26418530717958	0.8428996067345612	-18196435513403629568	0.8429301497563401
-6.2631853071795796	0.8353604092275091	-19218534680746283008	0.8353672893621791
-6.262185307179579	0.8278899853920191	-20194593796166422528	0.8278900454712306
-6.261185307179579	0.8204877624542517	-21121893084399460352	0.8204970311638748
-6.2601853071795786	0.8131531713003357	-21998262736848019456	0.8131861908367223
-6.259185307179578	0.8058856464723042	-22822031865406533632	0.8059549677984925
-6.258185307179578	0.7986846261637454	-23591981070180536320	0.7988004630561695
-6.2571853071795775	0.7915495522150447	-24307298402571911168	0.7917195805621512
-6.256185307179577	0.784479870108271	-24967538517029105664	0.7847091558981144
-6.255185307179577	0.7774750289617508	-25572584816003035136	0.7777660667269891
-6.2541853071795765	0.7705344815242171	-26122614403330097152	0.7708873244047605
-6.253185307179576	0.7636576841686961	-26618065671410208768	0.7640701469561656
-6.252185307179576	0.7568440968860612	-27059608357184389120	0.7573120142236892
-6.2511853071795755	0.7500931832781933	-27448115911068602368	0.7506107064332551
-6.250185307179575	0.7434044105509019	-27784640031687618560	0.7439643277133179
-6.249185307179575	0.7367772495064981	-28070387227500974080	0.7373713162832068
-6.2481853071795745	0.7302111745360639	-28306697274239225856	0.7308304431140866
-6.247185307179574	0.7237056636114615	-28495023444494200832	0.7243408008812119
-6.246185307179574	0.7172601982769762	-28636914392852934656	0.717901784985526
-6.2451853071795735	0.7108742636407432	-28733997586644049920	0.7115130683399327
-6.244185307179573	0.704547348365897	-28787964178701979648	0.7051745715023077
-6.243185307179573	0.6982789446613795	-28800555224558407680	0.6988864296030611
-6.2421853071795725	0.6920685482725585	-28773549152162627584	0.692648957367759
-6.241185307179572	0.6859156584715491	-28708750397624762368	0.6864626133813254
-6.240185307179572	0.6798197780472816	-28607979125585432576	0.6803279645848798
-6.2391853071795715	0.6737804132953571	-28473061957652312064	0.6742456518433284
-6.238185307179571	0.6677970740075903	-28305823636925743104	0.668216357274672
-6.237185307179571	0.6618692734613801	-28108079560972328960	0.6622407738927538
